INFO 2025-10-15 17:21:25,541 chat_api.rag_service ✅ Respuesta generada: 1054 caracteres
INFO 2025-10-15 17:22:00,488 chat_api.rag_service 🔍 Nueva consulta: que pasa si desapruebo un curso 3 veces o más?
INFO 2025-10-15 17:22:00,523 chat_api.rag_service 📊 Recuperados 5 documentos para: que pasa si desapruebo un curso 3 veces o más?...
INFO 2025-10-15 17:22:00,523 chat_api.rag_service   1. Convalidaciones - Proceso Completo - Score: 207.270
INFO 2025-10-15 17:22:00,523 chat_api.rag_service   2. Matrícula por Excepción - Proceso Completo - Score: 94.845
INFO 2025-10-15 17:22:00,523 chat_api.rag_service   3. Pautas Generales de Matrícula - Información Completa - Score: 91.596
INFO 2025-10-15 17:22:00,523 chat_api.rag_service   4. Proceso de Matrícula - Información Completa - Score: 62.814
INFO 2025-10-15 17:22:00,523 chat_api.rag_service   5. Requisitos de Cursos - Reglamento Completo - Score: 58.359
INFO 2025-10-15 17:22:00,524 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-15 17:22:00,524 chat_api.rag_service 🤖 Generando respuesta con Ollama...
INFO 2025-10-15 17:22:22,314 chat_api.rag_service ⏱️ Tiempo de generación: 21.79s
INFO 2025-10-15 17:22:22,314 chat_api.rag_service ✅ Respuesta generada: 443 caracteres
INFO 2025-10-15 17:23:50,673 chat_api.rag_service 🔍 Nueva consulta: donde descargo mi talon de pago?
INFO 2025-10-15 17:23:50,727 chat_api.rag_service 📊 Recuperados 0 documentos para: donde descargo mi talon de pago?...
INFO 2025-10-15 17:24:11,799 chat_api.rag_service 🔍 Nueva consulta: cómo convalido un curso?
INFO 2025-10-15 17:24:11,836 chat_api.rag_service 📊 Recuperados 5 documentos para: cómo convalido un curso?...
INFO 2025-10-15 17:24:11,836 chat_api.rag_service   1. Convalidaciones - Proceso Completo - Score: 13.904
INFO 2025-10-15 17:24:11,837 chat_api.rag_service   2. Matrícula por Excepción - Proceso Completo - Score: 8.955
INFO 2025-10-15 17:24:11,837 chat_api.rag_service   3. Proceso de Matrícula - Información Completa - Score: 6.666
INFO 2025-10-15 17:24:11,837 chat_api.rag_service   4. Disposiciones Generales - Reglamento Completo - Score: 6.621
INFO 2025-10-15 17:24:11,837 chat_api.rag_service   5. Retiro y Cancelación de Matrícula - Proceso Completo - Score: 6.170
INFO 2025-10-15 17:24:11,837 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-15 17:24:11,838 chat_api.rag_service 🤖 Generando respuesta con Ollama...
INFO 2025-10-15 17:25:28,884 chat_api.rag_service ⏱️ Tiempo de generación: 77.05s
INFO 2025-10-15 17:25:28,885 chat_api.rag_service ✅ Respuesta generada: 2247 caracteres
INFO 2025-10-15 17:26:28,895 chat_api.rag_service 🔍 Nueva consulta: como reservo mi matricula
INFO 2025-10-15 17:26:28,930 chat_api.rag_service 📊 Recuperados 5 documentos para: como reservo mi matricula...
INFO 2025-10-15 17:26:28,931 chat_api.rag_service   1. Matrícula por Excepción - Proceso Completo - Score: 14.857
INFO 2025-10-15 17:26:28,931 chat_api.rag_service   2. Proceso de Matrícula - Información Completa - Score: 13.064
INFO 2025-10-15 17:26:28,931 chat_api.rag_service   3. Levantamiento de Reserva - Proceso Completo - Score: 11.357
INFO 2025-10-15 17:26:28,931 chat_api.rag_service   4. Pautas Generales de Matrícula - Información Completa - Score: 11.210
INFO 2025-10-15 17:26:28,931 chat_api.rag_service   5. Reactualización de Matrícula - Proceso Completo - Score: 9.955
INFO 2025-10-15 17:26:28,932 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-15 17:26:28,932 chat_api.rag_service 🤖 Generando respuesta con Ollama...
INFO 2025-10-15 17:27:17,632 chat_api.rag_service ⏱️ Tiempo de generación: 48.70s
INFO 2025-10-15 17:27:17,632 chat_api.rag_service ✅ Respuesta generada: 1357 caracteres
INFO 2025-10-15 17:28:43,363 chat_api.rag_service 🔍 Nueva consulta: cuando empiezan las clases en el semestre 2025-B?
INFO 2025-10-15 17:28:43,390 chat_api.rag_service 📊 Recuperados 5 documentos para: cuando empiezan las clases en el semestre 2025-B?...
INFO 2025-10-15 17:28:43,391 chat_api.rag_service   1. Convalidaciones - Proceso Completo - Score: 69.604
INFO 2025-10-15 17:28:43,391 chat_api.rag_service   2. Matrícula por Excepción - Proceso Completo - Score: 39.880
INFO 2025-10-15 17:28:43,391 chat_api.rag_service   3. Pautas Generales de Matrícula - Información Completa - Score: 35.442
INFO 2025-10-15 17:28:43,391 chat_api.rag_service   4. Reserva de Matrícula - Proceso Completo - Score: 29.221
INFO 2025-10-15 17:28:43,391 chat_api.rag_service   5. Levantamiento de Reserva - Proceso Completo - Score: 24.705
INFO 2025-10-15 17:28:43,391 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-15 17:28:43,391 chat_api.rag_service 🤖 Generando respuesta con Ollama...
INFO 2025-10-15 17:30:20,859 chat_api.rag_service ⏱️ Tiempo de generación: 97.47s
INFO 2025-10-15 17:30:20,859 chat_api.rag_service ✅ Respuesta generada: 2968 caracteres
INFO 2025-10-15 17:30:41,831 chat_api.rag_service 🔍 Nueva consulta: cómo realizo una modificacion de matricula
INFO 2025-10-15 17:30:41,851 chat_api.rag_service 📊 Recuperados 5 documentos para: cómo realizo una modificacion de matricula...
INFO 2025-10-15 17:30:41,851 chat_api.rag_service   1. Convalidaciones - Proceso Completo - Score: 53.708
INFO 2025-10-15 17:30:41,852 chat_api.rag_service   2. Pautas Generales de Matrícula - Información Completa - Score: 33.854
INFO 2025-10-15 17:30:41,852 chat_api.rag_service   3. Matrícula por Excepción - Proceso Completo - Score: 32.392
INFO 2025-10-15 17:30:41,852 chat_api.rag_service   4. Levantamiento de Reserva - Proceso Completo - Score: 24.300
INFO 2025-10-15 17:30:41,852 chat_api.rag_service   5. Reactualización de Matrícula - Proceso Completo - Score: 23.945
INFO 2025-10-15 17:30:41,852 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-15 17:30:41,852 chat_api.rag_service 🤖 Generando respuesta con Ollama...
INFO 2025-10-15 17:31:37,638 chat_api.rag_service ⏱️ Tiempo de generación: 55.79s
INFO 2025-10-15 17:31:37,639 chat_api.rag_service ✅ Respuesta generada: 1589 caracteres
INFO 2025-10-15 17:37:37,278 chat_api.rag_service 🔍 Nueva consulta: Hola, cómo realizo una matricula por excepcion
INFO 2025-10-15 17:37:37,304 chat_api.rag_service 📊 Recuperados 5 documentos para: Hola, cómo realizo una matricula por excepcion...
INFO 2025-10-15 17:37:37,304 chat_api.rag_service   1. Matrícula por Excepción - Proceso Completo - Score: 23.146
INFO 2025-10-15 17:37:37,304 chat_api.rag_service   2. Convalidaciones - Proceso Completo - Score: 17.752
INFO 2025-10-15 17:37:37,304 chat_api.rag_service   3. Reactualización de Matrícula - Proceso Completo - Score: 9.479
INFO 2025-10-15 17:37:37,304 chat_api.rag_service   4. Proceso de Matrícula - Información Completa - Score: 8.077
